Id, Descri��o
1,"Terminal de Miramar"
2,"Terminal Aquaviário de Aracaju"
3,"Terminal Aquaviário de Manaus"
4,"Terminal Aquaviário do Norte Capixaba"
5,"Terminal Aquaviário de Madre de Deus"
6,"Píer de Graneis Líquidos 3A"
7,"Píer de Graneis Líquidos 2"
8,"Cais de Múltiplos Usos - CMU"
9,"Terminal de Granel Líquido"
10,"PIER DA PETROBRAS"
11,"Terminal Aquaviário de Guamaré"
12,"Cais Público - Alamoa"
13,"Píer Público"
14,"Terminal de Granéis Líquidos"
15,"Terminal Trombetas"
16,"Terminal de Múltiplo Uso -1"
17,"Cais de Uso da CODERN"
18,"Cais Comercial de Atracação de Barcaças"
